food_name,unit,base_qty,calories_base,protein_base,cal_per_unit,protein_per_unit
Fuze Tea,ml,100.0,29.0,0.0,0.29,0.0
Ready to eat Bhaji,g,100.0,137.0,2.0,1.37,0.02
